"from","to","liking"
"1003","1018",3
"1003","1051",3
"1003","1072",4
"1006","1009",5
"1006","1042",1
"1006","1057",4
"1006","1078",1
"1009","1006",2
"1009","1057",3
"1009","1078",5
"1012","1015",5
"1012","1021",4
"1012","1075",3
"1015","1012",2
"1015","1021",1
"1015","1078",2
"1018","1042",1
"1018","1048",4
"1018","1051",3
"1018","1060",5
"1018","1072",2
"1021","1006",2
"1021","1009",4
"1021","1012",3
"1021","1057",4
"1021","1078",4
"1027","1006",4
"1027","1009",3
"1027","1048",2
"1027","1051",5
"1027","1057",3
"1027","1078",4
"1030","1009",4
"1030","1078",3
"1033","1051",1
"1036","1006",4
"1036","1033",2
"1036","1042",2
"1039","1018",4
"1039","1042",3
"1042","1006",2
"1042","1018",3
"1042","1039",2
"1042","1051",1
"1045","1018",2
"1045","1042",1
"1048","1018",1
"1048","1042",4
"1048","1045",5
"1048","1051",2
"1048","1054",2
"1051","1018",4
"1051","1042",3
"1051","1045",4
"1051","1048",1
"1051","1054",1
"1054","1018",3
"1054","1039",3
"1054","1048",2
"1054","1051",1
"1054","1072",4
"1057","1009",4
"1057","1078",4
"1060","1003",2
"1060","1018",5
"1060","1042",4
"1060","1051",5
"1063","1006",3
"1063","1042",3
"1063","1066",5
"1063","1069",4
"1066","1027",3
"1066","1063",1
"1066","1069",5
"1066","1075",4
"1069","1051",3
"1069","1063",2
"1069","1066",3
"1072","1003",3
"1072","1018",3
"1072","1051",2
"1075","1009",5
"1075","1027",3
"1075","1057",1
"1075","1078",5
"1078","1006",1
"1078","1009",1
"1078","1057",4
