"name","female","isei08_m","isei08_f"
"1003",FALSE,NA,25.71
"1006",TRUE,14.64,33.76
"1009",TRUE,28.48,37.22
"1012",TRUE,26.64,25.23
"1015",TRUE,21.24,NA
"1018",FALSE,23.47,24.45
"1021",TRUE,21.24,25.23
"1024",FALSE,NA,25.71
"1027",TRUE,NA,25.95
"1030",TRUE,26.64,25.71
"1033",FALSE,28.48,39.04
"1036",FALSE,NA,25.71
"1039",FALSE,28.48,23.8
"1042",FALSE,NA,54.54
"1045",FALSE,17.79,17.79
"1048",FALSE,28.48,23.8
"1051",FALSE,54.55,25.71
"1054",FALSE,76.49,51.5
"1057",TRUE,70.4,51.5
"1060",FALSE,28.48,25.71
"1063",TRUE,24.98,26.85
"1066",TRUE,24.93,25.95
"1069",TRUE,24.93,25.95
"1072",FALSE,56.35,25.71
"1075",TRUE,14.21,11.74
"1078",TRUE,28.48,28.52
